GENESIS-Tabelle: 12411-0009;;;;;;;;;;
Population: L채nder, reference date;;;;;;;;;;
Current updating of population figures;;;;;;;;;;
Population (number);;;;;;;;;;
;Reference date;Reference date;Reference date;Reference date;Reference date;Reference date;Reference date;Reference date;Reference date;Reference date
;2007-12-31;2008-12-31;2009-12-31;2010-12-31;2011-12-31;2012-12-31;2013-12-31;2014-12-31;2015-12-31;2016-12-31
Baden-W체rttemberg;10749755;10749506;10744921;10753880;10512441;10569111;10631278;10716644;10879618;10951893
Bayern;12520332;12519728;12510331;12538696;12443372;12519571;12604244;12691568;12843514;12930751
Berlin;3416255;3431675;3442675;3460725;3326002;3375222;3421829;3469849;3520031;3574830
Brandenburg;2535737;2522493;2511525;2503273;2453180;2449511;2449193;2457872;2484826;2494648
Bremen;663082;661866;661716;660706;652182;654774;657391;661888;671489;678753
Hamburg;1770629;1772100;1774224;1786448;1718187;1734272;1746342;1762791;1787408;1810438
Hessen;6072555;6064953;6061951;6067021;5993771;6016481;6045425;6093888;6176172;6213088
Mecklenburg-Vorpommern;1679682;1664356;1651216;1642327;1606899;1600327;1596505;1599138;1612362;1610674
Niedersachsen;7971684;7947244;7928815;7918293;7774253;7778995;7790559;7826739;7926599;7945685
Nordrhein-Westfalen;17996621;17933064;17872763;17845154;17544938;17554329;17571856;17638098;17865516;17890100
Rheinland-Pfalz;4045643;4028351;4012675;4003745;3990033;3990278;3994366;4011582;4052803;4066053
Saarland;1036598;1030324;1022585;1017567;997855;994287;990718;989035;995597;996651
Sachsen;4220200;4192801;4168732;4149477;4054182;4050204;4046385;4055274;4084851;4081783
Sachsen-Anhalt;2412472;2381872;2356219;2335006;2276736;2259393;2244577;2235548;2245470;2236252
Schleswig-Holstein;2837373;2834260;2832027;2834259;2802266;2806531;2815955;2830864;2858714;2881926
Th체ringen;2289219;2267763;2249882;2235025;2181603;2170460;2160840;2156759;2170714;2158128
_____;;;;;;;;;;
Berlin: Until 1990 only Berlin-West.;;;;;;;;;;
New L채nder from 1991.;;;;;;;;;;
;;;;;;;;;;
From 2011: Results based on the 2011 Census.;;;;;;;;;;
_____;;;;;;;;;;
(C)opyright Statistisches Bundesamt (Destatis), 2018;;;;;;;;;;
created: 04.02.2018 - 21:04:51;;;;;;;;;;